13.5.21 12:17
Statistika projektu

                             	Segmenty	 Slova	Znaky (bez mezer)	Znaky (včetně mezer)	#Soubory	
Celkem:                      	   45952	551706	          3110852	             3605509	     652	
Zbývající:                   	   36410	479036	          2695667	             3129142	     616	
Jedinečné segmenty:          	   34766	490422	          2734557	             3182321	     652	
Zbývající jedinečné segmenty:	   30782	437335	          2445441	             2844509	     616	


Statistika jednotlivých souborů:

Název souboru                                                                                        	Segmenty celkem	Zbývající segmenty	Jedinečné segmenty	Zbývající jedinečné segmenty	Slova celkem	Zbývající slova	Jedinečná slova	Jedinečná Zbývající slova	Znaky celkem (bez mezer)	Zbývající znaky (bez mezer)	Jedinečné znaky (bez mezer)	Zbývající jedinečné znaky (bez mezer)	Znaky celkem (včetně mezer)	Zbývající znaky (včetně mezer)	Jedinečné znaky (včetně mezer)	Jedinečné zbývající znaky (včetně mezer)	
admin-synchronizing-business-central-and-sales.md                                                    	             69	                60	                52	                          51	         689	            675	            647	                      646	                    5177	                       5029	                       4673	                                 4667	                       5744	                          5595	                          5225	                                    5219	
admin-teams-integration.md                                                                           	             75	                72	                66	                          66	         879	            873	            857	                      857	                    5515	                       5446	                       5281	                                 5281	                       6293	                          6223	                          6052	                                    6052	
admin-teams-troubleshooting.md                                                                       	             88	                86	                83	                          83	        1261	           1257	           1235	                     1235	                    7402	                       7362	                       7194	                                 7194	                       8543	                          8502	                          8315	                                    8315	
admin-tips-and-tricks-rapidstart-services.md                                                         	             30	                28	                25	                          25	         321	            317	            309	                      309	                    1818	                       1778	                       1691	                                 1691	                       2109	                          2068	                          1975	                                    1975	
admin-troubleshoot-sales-synchronization.md                                                          	             54	                50	                47	                          46	         669	            662	            615	                      614	                    3694	                       3618	                       3362	                                 3355	                       4298	                          4221	                          3921	                                    3914	
admin-upgrade-sales-to-cds.md                                                                        	             21	                19	                13	                          13	         299	            295	            215	                      215	                    2124	                       2084	                       1519	                                 1519	                       2381	                          2340	                          1706	                                    1706	
admin-use-templates-to-prepare-customer-data-for-migration.md                                        	            116	               109	               105	                         103	        1608	           1590	           1514	                     1512	                    8596	                       8443	                       8008	                                 7978	                      10066	                          9903	                          9400	                                    9370	
admin-users-profiles-roles.md                                                                        	            109	               106	               102	                         102	        1505	           1495	           1461	                     1461	                    8290	                       8223	                       7988	                                 7988	                       9666	                          9593	                          9329	                                    9329	
admin-view-database-locks.md                                                                         	             13	                11	                11	                          11	         130	            126	            126	                      126	                     754	                        714	                        714	                                  714	                        869	                           828	                           828	                                     828	
admin-view-table-information.md                                                                      	             25	                21	                19	                          19	         168	            162	            158	                      158	                     965	                        911	                        894	                                  894	                       1102	                          1047	                          1028	                                    1028	
assembly-assemble-items.md                                                                           	             46	                 0	                39	                           0	         706	              0	            676	                        0	                    4300	                          0	                       4085	                                    0	                       4948	                             0	                          4712	                                       0	
assembly-assemble-to-order-or-assemble-to-stock.md                                                   	             65	                62	                63	                          62	        1094	           1082	           1090	                     1082	                    6061	                       5975	                       6021	                                 5975	                       7060	                          6966	                          7019	                                    6966	
assembly-how-to-assemble-items.md                                                                    	             48	                43	                38	                          37	         832	            792	            764	                      738	                    4720	                       4484	                       4196	                                 4055	                       5490	                          5221	                          4916	                                    4751	
assembly-how-to-create-blanket-assembly-orders.md                                                    	             28	                24	                24	                          23	         444	            428	            423	                      420	                    2589	                       2479	                       2436	                                 2423	                       2991	                          2870	                          2822	                                    2807	
assembly-how-to-quote-an-assemble-to-order-sale.md                                                   	             27	                22	                19	                          18	         376	            345	            305	                      290	                    2150	                       1917	                       1638	                                 1515	                       2488	                          2230	                          1921	                                    1784	
assembly-how-to-sell-assemble-to-order-items-and-inventory-items-together.md                         	             31	                27	                26	                          26	         466	            450	            433	                      433	                    2701	                       2591	                       2386	                                 2386	                       3126	                          3005	                          2790	                                    2790	
assembly-how-to-sell-inventory-items-in-assemble-to-order-flows.md                                   	             41	                36	                30	                          29	         663	            624	            532	                      526	                    3957	                       3722	                       3130	                                 3086	                       4567	                          4300	                          3624	                                    3575	
assembly-how-to-sell-items-assembled-to-order.md                                                     	             47	                42	                38	                          37	         775	            734	            698	                      693	                    4285	                       4019	                       3690	                                 3646	                       5001	                          4701	                          4346	                                    4298	
assembly-how-to-undo-assembly-posting.md                                                             	             34	                32	                32	                          32	         662	            658	            658	                      658	                    3633	                       3593	                       3593	                                 3593	                       4247	                          4206	                          4206	                                    4206	
bank-how-reconcile-bank-accounts-separately.md                                                       	            152	               145	               139	                         138	        2336	           2310	           2280	                     2276	                   13222	                      13028	                      12849	                                12820	                      15371	                         15159	                         14956	                                   14924	
bank-how-setup-bank-accounts.md                                                                      	             39	                35	                32	                          32	         527	            515	            485	                      485	                    3055	                       2951	                       2738	                                 2738	                       3522	                          3412	                          3175	                                    3175	
bank-how-setup-bank-data-conversion-service.md                                                       	             43	                41	                36	                          36	         736	            732	            679	                      679	                    4025	                       3985	                       3682	                                 3682	                       4702	                          4661	                          4312	                                    4312	
bank-how-setup-bank-statement-service.md                                                             	             96	                92	                82	                          82	        1598	           1586	           1384	                     1384	                    8763	                       8669	                       7620	                                 7620	                      10226	                         10125	                          8890	                                    8890	
bank-how-transfer-bank-funds.md                                                                      	             46	                42	                31	                          30	         514	            504	            411	                      408	                    2872	                       2802	                       2301	                                 2286	                       3328	                          3253	                          2671	                                    2654	
bank-manage-bank-accounts.md                                                                         	             31	                25	                17	                          17	         399	            371	            273	                      273	                    2492	                       2324	                       1775	                                 1775	                       2847	                          2658	                          2019	                                    2019	
bank-setup-banking.md                                                                                	             15	                11	                 8	                           8	         163	            157	            138	                      138	                     957	                        912	                        787	                                  787	                       1101	                          1055	                           914	                                     914	
bi-create-reports-with-xbrl.md                                                                       	            111	               108	               106	                         106	        1809	           1799	           1747	                     1747	                    9823	                       9740	                       9458	                                 9458	                      11498	                         11409	                         11079	                                   11079	
bi-how-analyze-actual-versus-budget.md                                                               	             40	                35	                32	                          32	         629	            565	            529	                      529	                    3455	                       3088	                       2923	                                 2923	                       4015	                          3592	                          3395	                                    3395	
bi-how-analyze-data-dimension.md                                                                     	             53	                49	                45	                          45	         857	            841	            774	                      774	                    4807	                       4697	                       4298	                                 4298	                       5596	                          5475	                          5015	                                    5015	
bi-how-create-analysis-views-reports.md                                                              	             84	                80	                75	                          75	        1311	           1300	           1261	                     1261	                    7072	                       6998	                       6762	                                 6762	                       8290	                          8210	                          7941	                                    7941	
bi-how-to-set-up-and-publish-kpi-web-services-based-on-account-schedules.md                          	             40	                34	                32	                          32	         499	            491	            471	                      471	                    2851	                       2779	                       2569	                                 2569	                       3300	                          3227	                          3005	                                    3005	
bi-how-work-account-schedule.md                                                                      	            155	               138	               139	                         135	        2078	           1954	           1954	                     1917	                   11109	                      10341	                      10247	                                10028	                      12995	                         12125	                         12036	                                   11785	
bi.md                                                                                                	             33	                27	                23	                          23	         382	            358	            292	                      292	                    2400	                       2246	                       1854	                                 1854	                       2740	                          2570	                          2117	                                    2117	
company-hub-add-company.md                                                                           	             32	                30	                30	                          30	         503	            499	            499	                      499	                    2920	                       2880	                       2880	                                 2880	                       3363	                          3322	                          3322	                                    3322	
company-hub-troubleshooting.md                                                                       	             23	                21	                21	                          21	         335	            331	            331	                      331	                    1782	                       1742	                       1742	                                 1742	                       2091	                          2050	                          2050	                                    2050	
company-hub.md                                                                                       	             44	                42	                34	                          34	         798	            794	            665	                      665	                    4178	                       4138	                       3481	                                 3481	                       4923	                          4882	                          4110	                                    4110	
design-details-accounts-in-the-general-ledger.md                                                     	            261	               143	                78	                          58	         652	            474	            379	                      315	                    4315	                       3244	                       2417	                                 2020	                       4695	                          3567	                          2709	                                    2270	
design-details-active-versus-historic-item-tracking-entries.md                                       	             31	                28	                21	                          20	         364	            352	            336	                      328	                    3695	                       3602	                       3431	                                 3378	                       3934	                          3833	                          3661	                                    3601	
design-details-application-design.md                                                                 	             21	                 0	                16	                           0	         217	              0	            209	                        0	                    1525	                          0	                       1433	                                    0	                       1711	                             0	                          1618	                                       0	
design-details-assembly-order-posting.md                                                             	            118	                87	                87	                          79	        1246	           1148	           1152	                     1089	                    7422	                       6832	                       6899	                                 6529	                       8532	                          7879	                          7947	                                    7525	
design-details-availability-in-the-warehouse.md                                                      	             50	                47	                47	                          46	         732	            722	            718	                      712	                    4255	                       4175	                       4154	                                 4114	                       4937	                          4851	                          4826	                                    4781	
design-details-average-cost.md                                                                       	            396	                 0	               149	                           0	        2161	              0	           1716	                        0	                   11264	                          0	                       9338	                                    0	                      12926	                             0	                         10875	                                       0	
design-details-balancing-demand-and-supply.md                                                        	            254	                 0	               250	                           0	        4121	              0	           4103	                        0	                   21712	                          0	                      21602	                                    0	                      25561	                             0	                         25438	                                       0	
design-details-central-concepts-of-the-planning-system.md                                            	            261	               256	               253	                         252	        4517	           4484	           4471	                     4469	                   24833	                      24624	                      24526	                                24507	                      29048	                         28812	                         28704	                                   28684	
design-details-changing-costing-methods.md                                                           	            217	               196	               182	                         177	        2096	           2062	           2016	                     2001	                   11202	                      10972	                      10746	                                10648	                      13069	                         12827	                         12569	                                   12461	
design-details-codeunit-12-changes-changes-in-general-journal-post-procedures.md                     	            445	               443	               200	                         200	         680	            676	            298	                      298	                    7036	                       6996	                       4048	                                 4048	                       7257	                          7216	                          4145	                                    4145	
design-details-codeunit-12-changes-mapping-global-variables-for-general-journal-post-line.md         	            221	               219	               104	                         104	         667	            663	            397	                      397	                    5246	                       5206	                       3224	                                 3224	                       5682	                          5641	                          3508	                                    3508	
design-details-cost-adjustment.md                                                                    	            237	                 0	               113	                           0	        1754	              0	           1475	                        0	                    9153	                          0	                       7828	                                    0	                      10616	                             0	                          9168	                                       0	
design-details-cost-components.md                                                                    	             44	                40	                24	                          24	         314	            308	            189	                      189	                    1921	                       1859	                       1182	                                 1182	                       2183	                          2120	                          1340	                                    1340	
design-details-costing-methods.md                                                                    	            201	                74	                66	                          65	        1481	           1280	           1263	                     1262	                    8610	                       7871	                       7813	                                 7803	                       9807	                          9037	                          8979	                                    8969	
design-details-demand-at-blank-location.md                                                           	             73	                70	                53	                          52	         854	            849	            673	                      672	                    4558	                       4509	                       3488	                                 3479	                       5368	                          5318	                          4119	                                    4110	
design-details-dimension-set-entries-overview.md                                                     	             40	                37	                35	                          34	         362	            357	            355	                      354	                    1990	                       1948	                       1939	                                 1937	                       2307	                          2264	                          2255	                                    2253	
design-details-dimension-set-entries.md                                                              	              5	                 3	                 4	                           3	          45	             40	             43	                       40	                     379	                        333	                        346	                                  333	                        415	                           367	                           382	                                     367	
design-details-expected-cost-posting.md                                                              	            120	                 0	                31	                           0	         524	              0	            344	                        0	                    2746	                          0	                       1992	                                    0	                       3112	                             0	                          2292	                                       0	
design-details-general-journal-post-line-overview.md                                                 	             30	                28	                28	                          28	         451	            447	            447	                      447	                    2567	                       2527	                       2527	                                 2527	                       2983	                          2942	                          2942	                                    2942	
design-details-general-journal-post-line.md                                                          	             10	                 7	                 7	                           7	         111	            104	            104	                      104	                     783	                        730	                        730	                                  730	                        878	                           822	                           822	                                     822	
design-details-handling-reordering-policies.md                                                       	            272	                 7	               231	                           5	        3660	              7	           3542	                        5	                   19405	                         21	                      18775	                                   15	                      22792	                            21	                         22086	                                      15	
design-details-inbound-warehouse-flow.md                                                             	            111	               103	                93	                          91	        1377	           1359	           1235	                     1228	                    7833	                       7698	                       7099	                                 7054	                       9091	                          8947	                          8236	                                    8186	
design-details-integration-with-inventory.md                                                         	             33	                30	                29	                          28	         453	            439	            447	                      437	                    2495	                       2358	                       2445	                                 2348	                       2912	                          2766	                          2861	                                    2756	
design-details-internal-warehouse-flows.md                                                           	             89	                84	                79	                          79	        1489	           1478	           1402	                     1402	                    8586	                       8482	                       8062	                                 8062	                       9978	                          9869	                          9379	                                    9379	
design-details-inventory-adjustment-value-entry-posting-date.md                                      	            225	                 0	               179	                           0	        2746	              0	           2555	                        0	                   13753	                          0	                      12723	                                    0	                      16292	                             0	                         15107	                                       0	
design-details-inventory-costing.md                                                                  	              6	                 4	                 4	                           4	         132	            127	            127	                      127	                    1213	                       1167	                       1167	                                 1167	                       1320	                          1272	                          1272	                                    1272	
design-details-inventory-periods.md                                                                  	             21	                17	                18	                          17	         316	            300	            304	                      300	                    1711	                       1580	                       1610	                                 1580	                       2002	                          1860	                          1893	                                    1860	
design-details-inventory-posting.md                                                                  	            191	                50	                44	                          40	         801	            516	            514	                      504	                    4170	                       2886	                       2865	                                 2818	                       4730	                          3333	                          3316	                                    3263	
design-details-inventory-valuation.md                                                                	             35	                 0	                32	                           0	         535	              0	            523	                        0	                    3150	                          0	                       3049	                                    0	                       3647	                             0	                          3538	                                       0	
design-details-inventory-zero-level-open-item-ledger-entries.md                                      	            199	                 0	                81	                           0	        1341	              0	           1152	                        0	                    6827	                          0	                       5917	                                    0	                       7944	                             0	                          6976	                                       0	
design-details-item-application.md                                                                   	            416	               148	               155	                         125	        2700	           1922	           2228	                     1863	                   14075	                      10046	                      12057	                                 9756	                      16283	                         11795	                         14116	                                   11478	
design-details-item-tracking-and-planning.md                                                         	             37	                35	                33	                          33	         772	            768	            747	                      747	                    4192	                       4152	                       3997	                                 3997	                       4921	                          4880	                          4706	                                    4706	
design-details-item-tracking-and-reservations.md                                                     	             78	                73	                69	                          69	        1362	           1352	           1342	                     1342	                    7229	                       7139	                       7078	                                 7078	                       8515	                          8421	                          8354	                                    8354	
design-details-item-tracking-availability.md                                                         	             28	                23	                23	                          23	         426	            416	            416	                      416	                    2524	                       2433	                       2433	                                 2433	                       2924	                          2829	                          2829	                                    2829	
design-details-item-tracking-design.md                                                               	             32	                27	                27	                          27	         484	            474	            474	                      474	                    2979	                       2888	                       2888	                                 2888	                       3425	                          3330	                          3330	                                    3330	
design-details-item-tracking-in-the-warehouse.md                                                     	             15	                13	                13	                          13	         245	            241	            241	                      241	                    1527	                       1487	                       1487	                                 1487	                       1753	                          1712	                          1712	                                    1712	
design-details-item-tracking-lines-window.md                                                         	             21	                18	                18	                          18	         462	            454	            454	                      454	                    2463	                       2388	                       2388	                                 2388	                       2903	                          2824	                          2824	                                    2824	
design-details-item-tracking-posting-structure.md                                                    	             37	                35	                35	                          35	         683	            679	            679	                      679	                    3619	                       3579	                       3579	                                 3579	                       4263	                          4222	                          4222	                                    4222	
design-details-item-tracking.md                                                                      	              8	                 6	                 6	                           6	         179	            174	            174	                      174	                    1179	                       1133	                       1133	                                 1133	                       1339	                          1291	                          1291	                                    1291	
design-details-outbound-warehouse-flow.md                                                            	            111	               104	                76	                          76	        1479	           1466	           1193	                     1193	                    8382	                       8281	                       6780	                                 6780	                       9746	                          9640	                          7898	                                    7898	
design-details-planning-assignment-table.md                                                          	             43	                41	                33	                          33	         537	            533	            357	                      357	                    2911	                       2871	                       2036	                                 2036	                       3400	                          3359	                          2357	                                    2357	
design-details-planning-parameters.md                                                                	            123	                 1	               115	                           1	        1685	             14	           1655	                       14	                    9494	                         93	                       9295	                                   93	                      11059	                           105	                         10839	                                     105	
design-details-posting-engine-structure.md                                                           	             49	                44	                31	                          31	         316	            307	            292	                      292	                    2296	                       2225	                       1968	                                 1968	                       2544	                          2470	                          2213	                                    2213	
design-details-posting-interface-structure.md                                                        	             11	                 9	                 8	                           8	          92	             88	             86	                       86	                     729	                        689	                        681	                                  681	                        813	                           772	                           763	                                     763	
design-details-production-order-posting.md                                                           	             71	                64	                63	                          62	        1111	           1082	           1053	                     1048	                    6666	                       6435	                       6254	                                 6218	                       7713	                          7461	                          7252	                                    7212	
design-details-reconciliation-with-the-general-ledger.md                                             	            122	                 0	                88	                           0	        1110	              0	           1057	                        0	                    6043	                          0	                       5629	                                    0	                       7010	                             0	                          6578	                                       0	
design-details-reservation-order-tracking-and-action-messaging.md                                    	            224	               217	               214	                         210	        3172	           3154	           3124	                     3111	                   18066	                      17886	                      17748	                                17619	                      20936	                         20746	                         20581	                                   20443	
design-details-revaluation.md                                                                        	            342	               155	               108	                         107	        1796	           1470	           1316	                     1315	                    8853	                       7644	                       7002	                                 7000	                      10176	                          8901	                          8178	                                    8176	
design-details-rounding.md                                                                           	             89	                26	                17	                          17	         407	            306	            277	                      277	                    2068	                       1740	                       1602	                                 1602	                       2353	                          2008	                          1856	                                    1856	
design-details-searching-for-dimension-combinations.md                                               	             53	                50	                43	                          43	         492	            487	            464	                      464	                    2839	                       2795	                       2653	                                 2653	                       3267	                          3222	                          3060	                                    3060	
design-details-supply-planning.md                                                                    	              7	                 5	                 5	                           5	         130	            125	            125	                      125	                     968	                        922	                        922	                                  922	                       1082	                          1034	                          1034	                                    1034	
design-details-table-structure.md                                                                    	            353	               324	               239	                         234	         929	            898	            703	                      698	                    5600	                       5491	                       4395	                                 4368	                       6170	                          6060	                          4854	                                    4827	
design-details-transfers-in-planning.md                                                              	            120	                 0	               113	                           0	        1903	              0	           1887	                        0	                   10104	                          0	                       9953	                                    0	                      11867	                             0	                         11709	                                       0	
