13.5.21 12:17
Statistika projektu

                             	Segmenty	 Slova	Znaky (bez mezer)	Znaky (včetně mezer)	#Soubory	
Celkem:                      	   45952	551706	          3110852	             3605509	     652	
Zbývající:                   	   36410	479036	          2695667	             3129142	     616	
Jedinečné segmenty:          	   34766	490422	          2734557	             3182321	     652	
Zbývající jedinečné segmenty:	   30782	437335	          2445441	             2844509	     616	


Statistika jednotlivých souborů:

Název souboru                                                                                        	Segmenty celkem	Zbývající segmenty	Jedinečné segmenty	Zbývající jedinečné segmenty	Slova celkem	Zbývající slova	Jedinečná slova	Jedinečná Zbývající slova	Znaky celkem (bez mezer)	Zbývající znaky (bez mezer)	Jedinečné znaky (bez mezer)	Zbývající jedinečné znaky (bez mezer)	Znaky celkem (včetně mezer)	Zbývající znaky (včetně mezer)	Jedinečné znaky (včetně mezer)	Jedinečné zbývající znaky (včetně mezer)	
across-how-to-set-up-a-document-exchange-service.md                                                  	             43	                39	                33	                          33	         322	            316	            272	                      272	                    1851	                       1795	                       1528	                                 1528	                       2123	                          2066	                          1762	                                    1762	
across-how-to-set-up-approval-users.md                                                               	             51	                47	                45	                          45	         713	            707	            653	                      653	                    4133	                       4077	                       3785	                                 3785	                       4783	                          4726	                          4382	                                    4382	
across-how-to-set-up-data-exchange-definitions.md                                                    	            253	               236	               222	                         219	        2944	           2919	           2806	                     2803	                   16720	                      16505	                      15839	                                15800	                      19400	                         19178	                         18408	                                   18369	
across-how-to-set-up-electronic-document-sending-and-receiving.md                                    	            139	               120	                95	                          95	        2058	           2032	           1682	                     1682	                   11982	                      11771	                       9816	                                 9816	                      13876	                         13659	                         11381	                                   11381	
across-how-to-set-up-workflow-users.md                                                               	             34	                29	                23	                          23	         495	            485	            386	                      386	                    2773	                       2689	                       2100	                                 2100	                       3228	                          3140	                          2459	                                    2459	
across-how-to-specify-when-and-how-to-receive-notifications.md                                       	             54	                48	                45	                          45	         686	            678	            627	                      627	                    4091	                       4019	                       3726	                                 3726	                       4722	                          4649	                          4309	                                    4309	
across-how-to-track-document-lines.md                                                                	             16	                13	                13	                          13	         180	            150	            150	                      150	                    1062	                        884	                        884	                                  884	                       1220	                          1017	                          1017	                                    1017	
across-how-to-use-xml-schemas-to-prepare-data-exchange-definitions.md                                	             71	                62	                57	                          57	         903	            889	            851	                      851	                    5001	                       4870	                       4702	                                 4702	                       5819	                          5684	                          5483	                                    5483	
across-how-to-view-archived-workflow-step-instances.md                                               	             17	                15	                10	                          10	         244	            240	            147	                      147	                    1578	                       1538	                       1018	                                 1018	                       1796	                          1755	                          1148	                                    1148	
across-how-use-approval-workflows.md                                                                 	             59	                57	                53	                          53	         870	            866	            803	                      803	                    4911	                       4871	                       4541	                                 4541	                       5712	                          5671	                          5283	                                    5283	
across-how-use-comments.md                                                                           	             19	                15	                17	                          15	         250	            215	            246	                      215	                    1406	                       1204	                       1366	                                 1204	                       1632	                          1401	                          1591	                                    1401	
across-how-use-financials-data-source-flow.md                                                        	             36	                34	                34	                          34	         678	            674	            674	                      674	                    4756	                       4716	                       4716	                                 4716	                       5336	                          5295	                          5295	                                    5295	
across-how-use-financials-data-source-powerapps.md                                                   	             27	                25	                25	                          25	         417	            413	            413	                      413	                    2438	                       2398	                       2398	                                 2398	                       2807	                          2766	                          2766	                                    2766	
across-how-use-financials-data-source-powerbi.md                                                     	             95	                88	                92	                          88	        1188	           1134	           1178	                     1134	                    7016	                       6681	                       6933	                                 6681	                       8064	                          7684	                          7975	                                    7684	
across-how-use-ocr-pdf-images-files.md                                                               	            111	               108	               102	                         102	        1973	           1965	           1860	                     1860	                   10487	                      10420	                       9734	                                 9734	                      12320	                         12249	                         11471	                                   11471	
across-how-use-powerbi-reports-factbox.md                                                            	             56	                52	                53	                          52	         718	            707	            708	                      707	                    3717	                       3621	                       3634	                                 3621	                       4363	                          4261	                          4274	                                    4261	
across-import-data-configuration-packages.md                                                         	             68	                58	                62	                          57	         671	            656	            660	                      653	                    3977	                       3855	                       3881	                                 3836	                       4560	                          4435	                          4461	                                    4414	
across-income-documents.md                                                                           	             32	                27	                22	                          22	         499	            487	            401	                      401	                    2967	                       2879	                       2372	                                 2372	                       3424	                          3330	                          2744	                                    2744	
across-inspect-page.md                                                                               	             28	                26	                26	                          26	         449	            445	            445	                      445	                    2542	                       2502	                       2502	                                 2502	                       2960	                          2919	                          2919	                                    2919	
across-install-app-for-teams.md                                                                      	             29	                25	                24	                          24	         216	            209	            205	                      205	                    1330	                       1248	                       1224	                                 1224	                       1505	                          1422	                          1395	                                    1395	
across-log-changes.md                                                                                	             75	                73	                73	                          73	        1108	           1104	           1104	                     1104	                    5982	                       5942	                       5942	                                 5942	                       7005	                          6964	                          6964	                                    6964	
across-powerbi-business-central-apps.md                                                              	            127	               119	               112	                         109	        1416	           1394	           1346	                     1337	                    8701	                       8474	                       8240	                                 8138	                       9938	                          9696	                          9425	                                    9314	
across-preview.md                                                                                    	             91	                87	                85	                          85	        1299	           1292	           1272	                     1272	                    7384	                       7304	                       7171	                                 7171	                       8541	                          8460	                          8311	                                    8311	
across-prices-and-discounts.md                                                                       	            158	               149	               130	                         130	        2493	           2357	           2195	                     2195	                   13498	                      12736	                      11679	                                11679	                      15815	                         14932	                         13736	                                   13736	
across-process-income-documents.md                                                                   	             24	                20	                13	                          13	         357	            351	            191	                      191	                    2078	                       2033	                       1181	                                 1181	                       2403	                          2357	                          1354	                                    1354	
across-quickbooks-to-business-edition.md                                                             	             16	                14	                14	                          14	         201	            197	            197	                      197	                    1255	                       1215	                       1215	                                 1215	                       1435	                          1394	                          1394	                                    1394	
across-report-selections.md                                                                          	             48	                44	                46	                          44	         510	            503	            507	                      503	                    3147	                       3087	                       3103	                                 3087	                       3610	                          3548	                          3566	                                    3548	
across-set-up-data-exchange.md                                                                       	             33	                28	                25	                          25	         442	            420	            405	                      405	                    2587	                       2444	                       2317	                                 2317	                       2986	                          2827	                          2688	                                    2688	
across-set-up-workflows.md                                                                           	             40	                35	                30	                          30	         451	            429	            336	                      336	                    2784	                       2641	                       2136	                                 2136	                       3180	                          3021	                          2428	                                    2428	
across-setting-up-workflow-notifications.md                                                          	             33	                31	                25	                          25	         464	            460	            403	                      403	                    2684	                       2644	                       2298	                                 2298	                       3103	                          3062	                          2665	                                    2665	
across-teams-overview.md                                                                             	             21	                18	                15	                          15	         223	            217	            193	                      193	                    1438	                       1369	                       1242	                                 1242	                       1636	                          1566	                          1418	                                    1418	
across-use-workflows.md                                                                              	             24	                19	                16	                          16	         235	            213	            167	                      167	                    1449	                       1306	                       1054	                                 1054	                       1654	                          1495	                          1200	                                    1200	
across-user-tasks.md                                                                                 	             24	                22	                22	                          22	         340	            336	            336	                      336	                    1707	                       1667	                       1667	                                 1667	                       2011	                          1970	                          1970	                                    1970	
across-videos.md                                                                                     	             13	                11	                11	                          11	         166	            162	            162	                      162	                     951	                        911	                        911	                                  911	                       1098	                          1057	                          1057	                                    1057	
